Incident Date,ID,District,Bias Code,Bias Code2,Bias,Status,# of Victims,Victim Type,# of Suspects,# Suspects less than 18 years old,# Suspects 18-35 years old,# Suspects 36-45 years old,# Suspects 46-55 years old,# Suspects >55 years old,Unknown
01/08/2020,200001377,2D,43 - Anti-Homosexual,,Verbal Intimidation,N/A,,Society,2,,,,,,X
01/22/2020,200003519,5D,21 - Anti-Jewish,,Vandalism,OPEN,,School/College,,,,,,,X
01/01/2020,200000046,3D,11 - Anti-White,,Assault (Physical),OPEN,1,Individual(s),3,,,,,,X
01/01/2020,200000206,TPPD,43 - Anti-Homosexual,,Vandalism,OPEN,1,Individual(s),,,,,,,X
01/22/2020,200003575,2D,43 - Anti-Homosexual,12 - Anti-Black,Written Intimidation,OPEN,1,Individual(s),1,,1,,,,
02/13/2019,190007085,5D,12 - Anti-Black,,Assault (simple),CLOSED - ARREST,1,Individual(s),1,,,1,,,
10/10/2016,16052250,2D,21 - Anti-Jewish,,Vandalism,CLOSED - EXCEPTION,,School/College,,,,,,,X
04/26/2019,190019525,2D,43 - Anti-Homosexual,,Written Intimidation,INACTIVE,,Religious Organization,1,,,,,1,
04/07/2017,170500969,1D,15 - Anti-Multi-Racial,,Flyer left behind,N/A,,Society,,,,,,,X
02/16/2020,200007854,4D,12 - Anti-Black,,Vandalism,OPEN,,Society,,,,,,,X
02/04/2020,200005776,4D,12 - Anti-Black,,Vandalism,N/A,,School/College,,,,,,,
03/29/2017,17016198,5D,11 - Anti-white,,Assault (physical),CLOSED - EXCEPTION,1,Individual(s),2,2,,,,,
04/09/2017,170501371,RCPD,15 - Anti-Multi-Racial,,Flyer left behind,N/A,,Society,,,,,,,X
02/18/2020,200008286,6D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
08/31/2017,170528035,6D,15 - Anti-Multi-Racial,,Vandalism,OPEN,,Government,,,,,,,X
11/11/2016,16058195,2D,21 - Anti-Jewish,,Vandalism,CLOSED - EXCEPTION,,School/College,,,,,,,X
12/05/2019,190059278,1D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
12/19/2016,16065054,2D,15 - Anti-Multi-Racial,,Vandalism,OPEN,,Religious Organization,,,,,,,X
05/07/2019,190021305,4D,14 - Anti-Asian,43 - Anti-Homosexual,Vandalism,INACTIVE,3,Individual(s),,,,,,,X
04/20/2016,16019492,5D,15 - Anti-Multi-Racial,,Flyer left behind,N/A,3,Individual(s),,,,,,,X
01/02/2018,180000185,5D,12 - Anti-Black,,Assault (physical),INACTIVE,1,Individual(s),1,,,,,,X
02/25/2020,200009369,2D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
04/04/2019,190015763,2D,43 - Anti-Homosexual,,Assault (physical),CLOSED - ARREST,1,Individual(s),1,,1,,,,
02/16/2020,200007845,TPPD,11 - Anti-White,,Vandalism,N/A,,Society,,,,,,,X
03/22/2019,190013251,6D,24 - Anti-Islamic,,Assault (physical),CLOSED - ADMIN,1,Individual(s),1,,1,,,,
02/06/2020,200006186,2D,21 - Anti-Jewish,,Written Intimidation,N/A,,School/College,,,,,,,X
03/11/2019,190011458,3D,21 - Anti-Jewish,,Written Intimidation,N/A,1,Individual(s),1,1,,,,,
05/08/2016,16022796,3D,32 - Anti-Hispanic,,Assault (physical),CLOSED - EXCEPTION,1,Individual(s),,,,,,,X
03/17/2019,190012351,5D,12 - Anti-Black,,Written Intimidation,CLOSED - ARREST,1,Individual(s),1,,,,,,
12/20/2016,16065937,5D,33 - Anti-Other Ethnicity,,Other,N/A,1,Individual(s),,,,,,,X
04/28/2019,190019957,6D,43 - Anti-Homosexual,,Assault (physical),INACTIVE,1,Individual(s),2,,,,,,X
10/16/2019,190049702,3D,12 - Anti-Black,,Vandalism,CLOSED - ARREST,1,Individual(s),2,,1,1,,,
03/06/2019,190010787,1D,21 - Anti-Jewish,,Vandalism,OPEN,,School/College,,,,,,,X
09/01/2017,170528121,RCPD,15 - Anti-Multi-Racial,,Flyer left behind,OPEN,,Society,,,,,,,X
02/06/2020,200006187,2D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
02/15/2018,180007926,1D,12 - Anti-Black,,Vandalism,OPEN,,School/College,,,,,,,X
03/21/2016,16015330,3D,21 - Anti-Jewish,,Vandalism,CLOSED - EXCEPTION,,School/College,,,,,,,X
09/12/2019,190043750,2D,21 - Anti-Jewish,43 - Anti-Homosexual,Vandalism,INACTIVE,2,Individual(s),,,,,,,X
11/07/2018,180055941,2D,43 - Anti-Homosexual,,Assault (simple),OPEN,1,Individual(s),,,,,,,X
11/03/2016,16056997,2D,21 - Anti-Jewish,,Vandalism,CLOSED - EXCEPTION,,School/College,,,,,,,X
02/05/2020,200006007,3D,12 - Anti-Black,,Written Intimidation,N/A,,Individual(s),1,,,,1,,
04/29/2018,180020921,GCPD,15 - Anti-Multi-Racial,,Vandalism,INACTIVE,,Society,,,,,,,X
02/01/2017,17005552,5D,33 - Anti-Other Ethnicity,,Verbal Intimidation,N/A,1,Individual(s),1,,,1,,,
05/09/2019,190021692,6D,43 - Anti-Homosexual,,Assault (physical),N/A,1,Individual(s),1,,,1,,,
04/17/2019,190018069,2D,21 - Anti-Jewish,,Vandalism,OPEN,,Society,,,,,,,X
02/14/2020,200007490,4D,14 - Anti-Asian,12 - Anti-Black,Assault (Physical),OPEN,,Individual(s),1,,,,,1,
03/07/2018,180011552,1D,15 - Anti-Multi-Racial,26 - Anti-Multi religious group,Written Intimidation,CLOSED - EXCEPTION,,School/College,1,,,,1,,
04/19/2016,16019185,5D,15 - Anti-Multi-Racial,,Flyer left behind,N/A,1,Individual(s),,,,,,,X
06/06/2017,170512439,1D,33 - Anti-Other Ethnicity,,Verbal Intimidation,N/A,1,Individual(s),1,,,1,,,
09/17/2016,16047778,5D,33 - Anti-Other Ethnicity,,Verbal Intimidation,N/A,1,Individual(s),,,,,,,X
02/05/2020,200005935,4D,71 - Anti-Transgender,,Verbal Intimidation,N/A,,Individual(s),1,1,,,,,
10/30/2018,180054345,4D,21 - Anti-Jewish,,Vandalism,OPEN,2,Individual(s),,,,,,,
03/14/2018,180012810,2D,15 - Anti-Multi-Racial,26 - Anti-Multi religious group,Written Intimidation,CLOSED - EXCEPTION,,Other,1,,,,1,,
03/21/2019,190013103,1D,12 - Anti-Black,,Assault (simple),CLOSED - ADMIN,1,Individual(s),1,,,,,,
05/09/2018,180022971,RCPD,12 - Anti-Black,,Assault (physical),UNF,1,Individual(s),2,,,,,,X
11/17/2016,16059407,4D,15 - Anti-Multi-Racial,,Vandalism,CLOSED - EXCEPTION,,School/College,,,,,,,X
05/05/2016,16022218,1D,15 - Anti-Multi-Racial,21 - Anti-Jewish,Vandalism,INACTIVE,,School/College,,,,,,,X
12/10/2016,16063483,2D,21 - Anti-Jewish,,Flyer left behind,CLOSED - EXCEPTION,1,Individual(s),,,,,,,X
06/14/2016,16030124,5D,11 - Anti-white,,Assault (physical),CLOSED - EXCEPTION,1,Individual(s),,,,,,,
11/22/2016,16060113,2D,33 - Anti-Other Ethnicity,,Written Intimidation,N/A,1,Individual(s),,,,,,,X
02/10/2020,200006894,2D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
09/10/2017,170529740,6D,15 - Anti-Multi-Racial,,Vandalism,OPEN,,Business/ Financial Institution,,,,,,,X
05/04/2019,190020981,5D,12 - Anti-Black,,Vandalism,CLOSED - ARREST,,Society,5,5,,,,,
02/20/2020,200008665,2D,21 - Anti-Jewish,,Written Intimidation,N/A,,School/College,1,1,,,,,
03/24/2019,190013600,5D,24 - Anti-Islamic,,Vandalism,CLOSED - ARREST,2,Individual(s),1,,1,,,,
12/14/2016,16064150,6D,15 - Anti-Multi-Racial,,Vandalism,INACTIVE,,Other,,,,,,,X
12/05/2019,190058610,5D,12 - Anti-Black,,Vandalism,CLOSED - ADMIN,,School/College,,,,,,,X
02/16/2016,16007812,4D,15 - Anti-Multi-Racial,43 - Anti-Homosexual,Vandalism,OPEN,,Other,,,,,,,X
11/05/2019,190053319,RCPD,21 - Anti-Jewish,,Other,OPEN,,Society,,,,,,,X
11/10/2016,16059010,1D,15 - Anti-Multi-Racial,,Written Intimidation,N/A,,School/College,2,2,,,,,
04/11/2019,190016883,4D,43 - Anti-Homosexual,,Written Intimidation,N/A,2,Individual(s),1,1,,,,,
